genus,abundance,maturity,species
Unassigned Coriobacteriales,NA,Immature,Gibbons
Unassigned Coriobacteriales,0.003856621,Mature,Gibbons
UCG-005,NA,Immature,Gibbons
UCG-005,0.003745343,Mature,Gibbons
Lachnospiraceae_NK4A136_group,NA,Immature,Gibbons
Lachnospiraceae_NK4A136_group,0.003557914,Mature,Gibbons
Selenomonas,NA,Immature,Gibbons
Selenomonas,0.003345614,Mature,Gibbons
Sutterella,NA,Immature,Gibbons
Sutterella,0.003245806,Mature,Gibbons
Colidextribacter,NA,Immature,Gibbons
Colidextribacter,0.002642215,Mature,Gibbons
Lachnospiraceae,NA,Immature,Gibbons
Lachnospiraceae,0.002597274,Mature,Gibbons
RF39,NA,Immature,Gibbons
RF39,0.002269837,Mature,Gibbons
Fournierella,NA,Immature,Gibbons
Fournierella,0.002237413,Mature,Gibbons
Lachnospiraceae_UCG-001,NA,Immature,Gibbons
Lachnospiraceae_UCG-001,0.002155581,Mature,Gibbons
[Eubacterium]_ruminantium_group,NA,Immature,Gibbons
[Eubacterium]_ruminantium_group,0.002136722,Mature,Gibbons
Bacteroides,NA,Immature,Gibbons
Bacteroides,0.002093104,Mature,Gibbons
Uncultured Ruminococcaceae,NA,Immature,Gibbons
Uncultured Ruminococcaceae,0.001896521,Mature,Gibbons
Phoenicibacter,NA,Immature,Gibbons
Phoenicibacter,0.001832611,Mature,Gibbons
Prevotellaceae_NK3B31_group,NA,Immature,Gibbons
Prevotellaceae_NK3B31_group,0.001801676,Mature,Gibbons
Campylobacter,NA,Immature,Gibbons
Campylobacter,0.001725027,Mature,Gibbons
Lachnospiraceae_ND3007_group,NA,Immature,Gibbons
Lachnospiraceae_ND3007_group,0.001698448,Mature,Gibbons
UCG-008,NA,Immature,Gibbons
UCG-008,0.001659683,Mature,Gibbons
Uncultured Rhodospirillales,NA,Immature,Gibbons
Uncultured Rhodospirillales,0.001439113,Mature,Gibbons
Bifidobacterium,NA,Immature,Gibbons
Bifidobacterium,0.001436686,Mature,Gibbons
Enterorhabdus,NA,Immature,Gibbons
Enterorhabdus,0.001406744,Mature,Gibbons
Prevotellaceae_UCG-003,NA,Immature,Gibbons
Prevotellaceae_UCG-003,0.00132017,Mature,Gibbons
NK4A214_group,NA,Immature,Gibbons
NK4A214_group,0.001307432,Mature,Gibbons
